id_ext_link,id_source,source,url,rating,normalized_rating,reviews_nr,normalized_reviews,last_refresh,id_outlet_info
8683892395156121,MYDD07502,Grab,MYDD07502,3.9,2,96,6,2020-06-26,9489969971652242
9657002722521466,1-CYWWVK4CVVAHNT,Grab,1-CYWWVK4CVVAHNT,4.7,9,53,4,2020-06-26,223911059430468
5472382621000590,1-CZCTGF3JFBUJEA,Grab,1-CZCTGF3JFBUJEA,4.7,9,11,2,2020-06-26,7983180983666749
7283272946343921,1-CYUCJXMWRNBDNE,Grab,1-CYUCJXMWRNBDNE,3.8,2,55,4,2020-06-26,7412110999266970
4151521512433845,1-CYXAV7X1LNMHWE,Grab,1-CYXAV7X1LNMHWE,3.9,2,14,2,2020-06-26,9893603841371049
6845336830016667,1-CYUFSBVGDFXKN6,Grab,1-CYUFSBVGDFXKN6,4.5,8,224,7,2020-06-26,7636855732716506
8853838488715980,1-CY6CT4CTR7CZAE,Grab,1-CY6CT4CTR7CZAE,4.8,10,28,3,2020-06-26,6302484935584374
3289020772442220,1-CYXDNRN1REXKR6,Grab,1-CYXDNRN1REXKR6,3.8,2,22,3,2020-06-26,5166595057549150
786376616884322,1-CYMVVY4JRJ5FDE,Grab,1-CYMVVY4JRJ5FDE,4.1,3,152,6,2020-06-26,5206012117123718
7483468700185431,1-CYXDNRN1NJ4ZLN,Grab,1-CYXDNRN1NJ4ZLN,3.5,1,13,2,2020-06-26,3587342038941067
7646863034547118,1-CY6YR3EENJLYBE,Grab,1-CY6YR3EENJLYBE,4.3,5,10,2,2020-06-26,6470667829601550
7324552107592008,1-CZBAC73CT8EXDA,Grab,1-CZBAC73CT8EXDA,4.4,7,16,3,2020-06-26,3710843579475545
4760805677778929,1-CY4ZAYW3C3TWVJ,Grab,1-CY4ZAYW3C3TWVJ,4.0,3,1,1,2020-06-26,297896921172288
1125865327513063,1-CYUBEPE2A3DFNT,Grab,1-CYUBEPE2A3DFNT,0.0,1,0,0,2020-06-26,6572746421562101
8463869551115033,1-CY6FL2MUVRDDPA,Grab,1-CY6FL2MUVRDDPA,4.5,8,98,6,2020-06-26,6440463307297504
